Common Name           ;Gl/GJ   ;Variable  ;Cst  ;Coordinates (J2000)  ;PMtot ;PosAng ;TrigPar  ;Error   ;Spec. Type   ;Apar. Mag  ;P/D;Comments
HD 155876 A           ;661 A   ;          ;Her  ;17 12 07.9 +45 39 57 ; 1.62 ; 168.4 ; 157.1   ;  1.2   ; M 3   V     ;  9.93 V   ;   ;
HD 155876 B           ;661 B   ;          ;Her  ;17 12 07.9 +45 39 57 ; 1.62 ; 168.4 ; 157.1   ;  1.2   ; M 3   V     ; 10.35 V   ;   ;
LHS 2090              ;        ;          ;Cnc  ;09 00 23.5 +21 50 05 ; 0.79 ; 220.5 ; 156.76  ;  0.13  ; M 6   V     ; 16.10 V   ;   ;
G 99-44               ;223.2   ;          ;Ori  ;05 55 09.7 -04 10 17 ; 2.38 ; 166.6 ; 156.01  ;  0.75  ; DZ 9        ; 14.47 V   ;   ;
LP 944-20             ;        ;          ;For  ;03 39 35.2 -35 25 41 ; 0.44 ; 47.6  ; 155.50  ;  0.52  ; M 9   V     ; 18.69 V   ;   ;
G 12-30               ;1156    ;GL Vir    ;Vir  ;12 19 00.3 +11 07 31 ; 1.30 ; 279.1 ; 154.51  ;  0.11  ; M 5   V     ; 13.80 V   ;   ;
Wolf 630 (A)          ;644 A   ;V1054 Oph ;Oph  ;16 55 28.8 -08 20 11 ; 1.21 ; 223.3 ; 154.00  ;  0.22  ; M 2.5 V     ;  9.36 V   ;   ;
Wolf 630 (Ba)         ;644 B   ;          ;Oph  ;16 55 28.8 -08 20 11 ; 1.21 ; 223.3 ; 154.00  ;  0.22  ; M 3   V     ;  9.98 V   ;   ;
Wolf 630 (Bb)         ;        ;          ;Oph  ;16 55 28.8 -08 20 11 ; 1.21 ; 223.3 ; 154.00  ;  0.22  ; M 3.5 V     ; 10.32 V   ;   ;
van Biesbr. 8 (C)     ;644 C   ;          ;Oph  ;16 55 35.8 -08 23 40 ; 1.19 ; 222.5 ; 154.00  ;  0.22  ; M 7   V     ; 16.78 V   ;   ;
Wolf 629 (D)          ;643     ;          ;Oph  ;16 55 25.2 -08 19 21 ; 1.21 ; 222.3 ; 154.00  ;  0.22  ; M 3.5 V     ; 11.80 V   ;   ;
G 202-48              ;625     ;          ;Dra  ;16 25 24.6 +54 18 15 ; 0.46 ; 111.5 ; 153.82  ;  0.50  ; M 1.5 V     ; 10.10 V   ; y ;
LHS 271               ;1128    ;          ;Car  ;09 42 46.4 -68 53 06 ; 1.02 ; 109.5 ; 153.42  ;  0.39  ; M 4   V     ; 12.74 V   ;   ;
WISE J0313+7807       ;        ;          ;Cep  ;03 13 26.0 +78 07 44 ; 0.15 ; 91.6  ; 153     ; 15     ; T 8.5 V     ; 17.67 J   ;   ;
WISE J2209+2711       ;        ;          ;Peg  ;22 09 05.7 +27 11 44 ; 1.37 ; 132.0 ; 152.9   ;  5.0   ; Y 0.5 V     ; 22.72 J   ;   ;Or Y 1, very uncertain pm (AllWISE)
HD 219134             ;892     ;          ;Cas  ;23 13 17.0 +57 10 06 ; 2.10 ; 81.9  ; 152.83  ;  0.28  ; K 3   V     ;  5.54 V   ; y ;HR 8832
WISE J0410+1502       ;        ;          ;Tau  ;04 10 22.8 +15 02 47 ; 2.43 ; 156.7 ; 152.6   ;  3.3   ; Y 0   V     ; 19.41 J   ;   ;
WISE J1405+5534       ;        ;          ;UMa  ;14 05 18.3 +55 34 21 ; 2.28 ; 277.3 ; 150.9   ;  4.7   ; Y 0.5 V     ; 21.06 J   ;   ;
LHS 337               ;3737    ;          ;Cen  ;12 38 49.1 -38 22 53 ; 1.51 ; 202.1 ; 149.14  ;  0.54  ; M 4   V     ; 12.75 V   ;   ;
Ksi Bootis A          ;566 A   ;          ;Boo  ;14 51 23.4 +19 06 02 ; 0.17 ; 115.0 ; 148.55  ;  0.40  ; G 8   V     ;  4.70 V   ;   ;
Ksi Bootis B          ;566 B   ;          ;Boo  ;14 51 23.4 +19 06 02 ; 0.17 ; 115.0 ; 148.55  ;  0.40  ; K 4   V     ;  6.97 V   ;   ;
Ross 104              ;408     ;          ;Leo  ;11 00 04.3 +22 49 59 ; 0.51 ; 236.7 ; 148.128 ;  0.057 ; M 2.5 V     ; 10.02 V   ;   ;
Scholz's star A       ;        ;          ;Mon  ;07 20 03.3 -08 46 50 ; 0.12 ; 199.3 ; 148.06  ;  0.79  ; M 9.5 V     ; 18.52 V   ;   ;WISE J0720-0846 A
Scholz's star B       ;        ;          ;Mon  ;07 20 03.3 -08 46 50 ; 0.12 ; 199.3 ; 148.06  ;  0.79  ; T 5.5 V     ; 13.93 J   ;   ;WISE J0720-0846 B
G 41-14 A             ;3522    ;          ;Cnc  ;08 58 56.1 +08 28 28 ; 0.46 ; 134.2 ; 148.0   ;  2.0   ; M 3.5 V     ; 11.94 V   ;   ;
G 41-14 B             ;        ;          ;Cnc  ;08 58 56.1 +08 28 28 ; 0.46 ; 134.2 ; 148.0   ;  2.0   ; M 3.5 V     ; 12.14 V   ;   ;
G 41-14 C             ;        ;          ;Cnc  ;08 58 56.1 +08 28 28 ; 0.46 ; 134.2 ; 148.0   ;  2.0   ; M 3.5 V     ; 12.28 V   ;   ;
Ross 775 A            ;829     ;          ;Peg  ;21 29 36.8 +17 38 36 ; 1.08 ; 69.5  ; 147.613 ;  0.098 ; M 3.5 V     ; 11.05 V   ;   ;All equal. Not a typo.
Ross 775 B            ;        ;          ;Peg  ;21 29 36.8 +17 38 36 ; 1.08 ; 69.5  ; 147.613 ;  0.098 ; M 3.5 V     ; 11.05 V   ;   ;All equal. Not a typo.
Ross 619              ;299     ;          ;Cnc  ;08 11 57.5 +08 46 28 ; 5.21 ; 167.1 ; 147.12  ;  0.44  ; M 4   V     ; 12.82 V   ;   ;
Ross 671              ;880     ;          ;Peg  ;22 56 34.8 +16 33 12 ; 1.07 ; 254.7 ; 146.07  ;  0.45  ; M 1.5 V     ;  8.66 V   ; y ;
BD-17 588 A           ;3193    ;          ;Eri  ;03 01 51.4 -16 35 36 ; 0.47 ; 229.7 ; 145.55  ;  0.08  ; M 2.5 V     ; 11.22 V   ; y ;
BD-17 588 Ba          ;3192 A  ;          ;Eri  ;03 01 51.1 -16 35 31 ; 0.47 ; 229.7 ; 145.55  ;  0.08  ; M 3.5 V     ; 11.78 V   ;   ;
BD-17 588 Bb          ;3192 B  ;          ;Eri  ;03 01 51.1 -16 35 31 ; 0.47 ; 229.7 ; 145.55  ;  0.08  ; M 4   V     ; 12.64 V   ;   ;
WISE J1928+2356       ;        ;          ;Vul  ;19 28 41.4 +23 56 05 ; 0.99 ; 253.7 ; 145.1   ;  5.2   ; T 6   V     ; 14.34 J   ;   ;
WISE J0825+2805       ;        ;          ;Cnc  ;08 25 07.4 +28 05 48 ; 0.50 ; 138.0 ; 144.3   ;  3.7   ; Y 0.5 V     ; 22.4  J   ;   ;PM is very uncertain
Wolf 358              ;402     ;EE Leo    ;Leo  ;10 50 52.1 +06 48 29 ; 1.15 ; 225.1 ; 143.99  ;  0.65  ; M 4   V     ; 11.67 V   ;   ;
LHS 2272              ;393     ;          ;Sex  ;10 28 55.6 +00 50 28 ; 0.95 ; 219.6 ; 142.189 ;  0.050 ; M 2.5 V     ;  9.64 V   ; y ;
HD 199305             ;809     ;          ;Cep  ;20 53 19.8 +62 09 16 ; 0.77 ; 179.9 ; 142.06  ;  0.28  ; M 2   V     ;  8.60 V   ;   ;
LSPM J2146+3813 A     ;        ;          ;Cyg  ;21 46 22.1 +38 13 05 ; 0.21 ; 125.8 ; 142.052 ;  0.051 ; M 4   V     ; 12.32 V c ;   ;M= 0.24 +-0.08 MSun
LSPM J2146+3813 B     ;        ;          ;Cyg  ;21 46 22.1 +38 13 05 ; 0.21 ; 125.8 ; 142.052 ;  0.051 ; M 5.5 V     ; 12.32 V c ;   ;M= 0.12 +-0.03 MSun, ST derived from mass
LHS 3003              ;3877    ;          ;Hya  ;14 56 38.5 -28 09 51 ; 0.96 ; 210.1 ; 141.37  ;  0.52  ; M 7   V     ; 17.05 V   ;   ;
WISE J0005+3737       ;        ;          ;And  ;00 05 17.5 +37 37 20 ; 0.62 ; 113.7 ; 141     ; 46     ; T 9   V     ; 18.33 J   ;   ;
WISEA J1930-2059      ;        ;          ;Sgr  ;19 30 54.5 -20 59 49 ;      ;       ; 141     ; 29     ; Y 1+  V     ;>19.80 J   ;   ;
LHS 22                ;1068    ;          ;Dor  ;04 10 28.2 -53 36 08 ; 3.77 ; 223.3 ; 140.556 ;  0.035 ; M 4.5 V     ; 13.62 V   ;   ;
WISE J2056+1459       ;        ;          ;Del  ;20 56 28.9 +14 59 54 ; 0.91 ; 56.7  ; 140.3   ;  3.2   ; Y 0   V     ; 19.36 J   ;   ;
WISE J0521+1025       ;        ;          ;Ori  ;05 21 26.3 +10 25 27 ; 0.48 ; 151.0 ; 139.7   ;  4.8   ; T 7.5 V     ; 15.26 J   ;   ;
LHS 546               ;1286    ;          ;Psc  ;23 35 10.5 -02 23 21 ; 1.28 ; 138.4 ; 139.36  ;  0.53  ; M 5.5 V     ; 14.69 V   ;   ;
HD 16160 A            ;105 A   ;          ;Cet  ;02 36 04.9 +06 53 13 ; 2.31 ; 51.4  ; 138.79  ;  0.43  ; K 3   V     ;  5.82 V   ;   ;
HD 16160 B            ;105 B   ;BX Cet    ;Cet  ;02 36 15.4 +06 52 19 ; 2.32 ; 51.4  ; 138.79  ;  0.43  ; M 4.5 V     ; 11.66 V   ;   ;
HD 16160 C            ;        ;          ;Cet  ;02 36 04.7 +06 53 15 ; 2.31 ; 51.4  ; 138.79  ;  0.43  ; M 6.5 V     ; 16.77 V   ;   ;
WISE J0607+2429       ;        ;          ;Gem  ;06 07 39.1 +24 29 57 ; 0.57 ; 234.9 ; 138.55  ;  0.77  ; L 9   V     ; 14.22 J   ;   ;
HD 156384 (Aa)        ;667 A   ;          ;Sco  ;17 18 57.2 -34 59 23 ; 1.13 ; 93.9  ; 138.54  ;  0.66  ; K 3   V     ;  6.29 V   ;   ;
HD 156384 (Ab)        ;667 B   ;          ;Sco  ;17 18 57.2 -34 59 23 ; 1.13 ; 93.9  ; 138.54  ;  0.66  ; K 5   V     ;  7.24 V   ;   ;
LHS 443 (C)           ;667 C   ;          ;Sco  ;17 18 58.8 -34 59 49 ; 1.17 ; 100.5 ; 138.54  ;  0.66  ; M 1.5 V     ; 10.22 V   ; y ;
2MASS J0835-0819      ;        ;V488 Hya  ;Hya  ;08 35 42.6 -08 19 24 ; 0.59 ; 298.8 ; 137.85  ;  0.32  ; L 5   V     ; 21.00 V   ;   ;J= 13.17
LHS 3799              ;4274    ;          ;Aqr  ;22 23 07.0 -17 36 25 ; 0.93 ; 164.5 ; 137.59  ;  0.48  ; M 4   V     ; 13.25 V   ;   ;
WISE J0049+2151       ;        ;          ;And  ;00 49 45.6 +21 51 20 ; 0.98 ; 292.5 ; 137     ; 36     ; T 8.5 V     ; 16.72 J   ;   ;
2MASS J1507-1627      ;        ;          ;Lib  ;15 07 47.7 -16 27 39 ; 0.88 ; 186.0 ; 136.15  ;  0.26  ; L 5   V     ; 22.14 V   ;   ;
G 203-47 A            ;3991    ;          ;Her  ;17 09 31.5 +43 40 53 ; 0.44 ; 130.1 ; 134.60  ;  0.49  ; M 3.5 V     ; 11.78 V c ;   ;Post common env system
G 203-47 B            ;        ;          ;Her  ;17 09 31.5 +43 40 53 ; 0.44 ; 130.1 ; 134.60  ;  0.49  ; DA          ; 11.78 V c ;   ;Post common env system
HD 4628               ;33      ;          ;Psc  ;00 48 23.0 +05 16 50 ; 1.37 ; 146.4 ; 134.26  ;  0.49  ; K 2.5 V     ;  5.74 V   ;   ;
LHS 3746              ;4248    ;          ;Gru  ;22 02 29.4 -37 04 51 ; 0.97 ; 110.3 ; 134.2   ;  1.3   ; M 3.5 V     ; 11.8  V   ;   ;
Beta Hydri            ;19      ;          ;Hyi  ;00 25 45.1 -77 15 15 ; 2.24 ; 81.7  ; 134.07  ;  0.11  ; G 2   IV    ;  2.80 V   ; y ;Dubious planet
107 Piscium           ;68      ;          ;Psc  ;01 42 30.2 +20 16 07 ; 0.75 ; 203.5 ; 132.76  ;  0.49  ; K 1   V     ;  5.22 V   ;   ;
Mu Cassiopeiae A      ;53 A    ;          ;Cas  ;01 08 16.7 +54 55 11 ; 3.77 ; 114.7 ; 132.57  ;  0.57  ; G 5   VI    ;  5.17 V   ;   ;Marfak (west)
Mu Cassiopeiae B      ;53 B    ;          ;Cas  ;01 08 16.7 +54 55 11 ; 3.77 ; 114.7 ; 132.57  ;  0.57  ; M 3.5 VI    ; 11.71 V   ;   ;
WISE J1738+2732       ;        ;          ;Her  ;17 38 35.5 +27 32 59 ; 1.14 ; 148.1 ; 131.9   ;  3.3   ; Y 0   V     ; 19.92 J   ;   ;
BD+11 2576            ;514     ;          ;Vir  ;13 29 59.9 +10 22 38 ; 1.55 ; 134.3 ; 131.76  ;  0.98  ; M 1   V     ;  9.05 V   ; y ;
Fomalhaut (B)         ;879     ;TW PsA    ;PsA  ;22 56 23.6 -31 33 53 ; 0.36 ; 114.6 ; 131.438 ;  0.086 ; K 5   V     ;  6.48 V   ; y?;Poss Jovian planet detected by astrometry: M= 1.2 +0.7 -0.6 MJ, Per= 25 +52-21 y (de Rosa, 2019)
G 141-36              ;        ;          ;Aql  ;18 48 17.5 +07 41 21 ; 0.45 ; 56.8  ; 131.199 ;  0.079 ; M 5   V     ; 14.63 V   ;   ;
WISE J2000+3629       ;        ;          ;Cyg  ;20 00 50.2 +36 29 50 ; 0.60 ; 250.0 ; 130.8   ;  2.9   ; T 8   V     ; 15.44 J   ;   ;PM is very uncertain
LHS 3376              ;4053    ;          ;Dra  ;18 18 57.3 +66 11 33 ; 0.63 ; 135.3 ; 130.772 ;  0.044 ; M 4.5 V     ; 13.48 V   ;   ;LSPM J1818+6611
LP 876-10 (C)         ;        ;          ;Aqr  ;22 48 04.5 -24 22 08 ; 0.38 ; 118.0 ; 130.303 ;  0.075 ; M 4   V     ; 12.62 V   ; y ;Fomalhaut C, dust + comets
G 36-31               ;109     ;VX Ari    ;Ari  ;02 44 15.6 +25 31 21 ; 0.92 ; 113.8 ; 130.187 ;  0.061 ; M 3.5 V     ; 10.57 V   ;   ;
Vega                  ;721     ;          ;Lyr  ;18 36 56.7 +38 47 03 ; 0.35 ; 35.2  ; 129.88  ;  0.32  ; A 0   V     ;  0.03 V   ; y ;Alpha Lyrae
Fomalhaut (A)         ;881     ;          ;PsA  ;22 57 39.6 -29 37 22 ; 0.37 ; 115.6 ; 129.85  ;  0.47  ; A 3   V     ;  1.16 V   ; y ;Alpha Piscis Austrini, debris disk
LHS 1070 A            ;2005    ;          ;Scl  ;00 24 44.2 -27 08 25 ; 0.61 ; 354.9 ; 129.8   ;  2.4   ; M 5.5 V     ; 15.35 V   ;   ;
LHS 1070 B            ;        ;          ;Scl  ;00 24 44.2 -27 08 25 ; 0.61 ; 354.9 ; 129.8   ;  2.4   ; M 8.5 V     ; 18.68 V   ;   ;
LHS 1070 C            ;        ;          ;Scl  ;00 24 44.2 -27 08 25 ; 0.61 ; 354.9 ; 129.8   ;  2.4   ; M 9.5 V     ; 19.07 V   ;   ;
LHS 1805              ;3378    ;          ;Cam  ;06 01 11.1 +59 35 51 ; 0.65 ; 200.0 ; 129.459 ;  0.080 ; M 3.5 V     ; 11.71 V   ;   ;LSPM J0601+5935
HD 165222             ;701     ;          ;Ser  ;18 05 07.2 -03 01 54 ; 0.64 ; 121.1 ; 129.392 ;  0.061 ; M 2   V     ;  9.38 V   ;   ;
HD 157881             ;673     ;          ;Oph  ;17 25 45.4 +02 06 38 ; 1.32 ; 206.1 ; 129.34  ;  0.24  ; K 7   V     ;  7.53 V   ;   ;
LHS 223               ;1093    ;          ;Gem  ;06 59 28.4 +19 20 52 ; 1.22 ; 137.3 ; 129.00  ;  0.17  ; M 5   V     ; 14.83 V   ;   ;
SIPS J1259-4336       ;        ;          ;Cen  ;12 59 04.7 -43 36 24 ; 1.13 ; 104.0 ; 128.60  ;  0.68  ; M 8   V     ; 17.5  V   ;   ;
G 227-22              ;        ;          ;Dra  ;18 02 16.6 +64 15 44 ; 0.43 ; 151.6 ; 128.487 ;  0.058 ; M 5.5 V     ; 13.51 V   ;   ;LP 71-82, PM I18022+6415, overluminous
LHS 1208 A            ;54      ;          ;Tuc  ;01 10 22.9 -67 26 40 ; 0.72 ; 34.0  ; 128.2   ;  1.9   ; M 2   V     ;  9.64 V   ;   ;ST derived from MV
LHS 1208 B            ;        ;          ;Tuc  ;01 10 22.9 -67 26 40 ; 0.72 ; 34.0  ; 128.2   ;  1.9   ; M 3   V     ; 10.87 V   ;   ;ST derived from MV
CD-44 3045 A          ;257 A   ;          ;Pup  ;06 57 46.4 -44 17 30 ; 1.13 ; 265.0 ; 126.33  ;  0.76  ; M 4   V     ; 11.59 V   ;   ;
CD-44 3045 B          ;257 B   ;          ;Pup  ;06 57 46.4 -44 17 30 ; 1.13 ; 265.0 ; 126.33  ;  0.76  ; M 4   V     ; 11.61 V   ;   ;
BD-3 2870             ;382     ;AN Sex    ;Sex  ;10 12 17.3 -03 44 44 ; 0.28 ; 214.1 ; 126.1   ;  1.8   ; M 2   V     ;  9.26 V   ;   ;
LHS 3359              ;1224    ;          ;Ser  ;18 07 32.9 -15 57 51 ; 0.66 ; 238.2 ; 125.43  ;  0.56  ; M 4.5 V     ; 13.63 V   ;   ;
LHS 417 A             ;623     ;          ;Her  ;16 24 09.9 +48 21 12 ; 1.23 ; 111.6 ; 125.13  ;  0.82  ; M 3   V     ; 10.26 V   ;   ;
LHS 417 B             ;        ;          ;Her  ;16 24 09.9 +48 21 12 ; 1.23 ; 111.6 ; 125.13  ;  0.82  ; M 6   V     ; 15.57 V   ;   ;
Wolf 922 A            ;831 A   ;BB Cap    ;Cap  ;21 31 18.9 -09 47 22 ; 1.19 ; 90.8  ; 125.1   ;  2.1   ; M 4.5 V     ; 10.99 V   ;   ;
Wolf 922 B            ;831 B   ;          ;Cap  ;21 31 18.9 -09 47 22 ; 1.19 ; 90.8  ; 125.1   ;  2.1   ; M 5   V     ; 13.15 V   ;   ;
SCR J0740-4257        ;        ;          ;Pup  ;07 40 11.8 -42 57 41 ; 0.71 ; 318.2 ; 125.077 ;  0.056 ; M 4.5 V     ; 13.81 V   ;   ;
G 99-47               ;1087    ;V1201 Ori ;Ori  ;05 56 25.4 +05 21 46 ; 1.06 ; 207.0 ; 125.0   ;  3.6   ; DAP 9       ; 14.10 V   ;   ;
WISE J1800+0134       ;        ;          ;Oph  ;18 00 26.6 +01 34 53 ; 0.42 ; 153.8 ; 124.9   ;  3.2   ; L 7.5 V     ; 14.30 J   ;   ;
LHS 316 AB            ;1151    ;          ;UMa  ;11 50 58.4 +48 22 36 ; 1.82 ; 237.5 ; 124.8   ;  2.1   ; M 4.5 V c   ; 13.26 V c ; y ;
Chi Draconis A        ;713 AB  ;          ;Dra  ;18 21 02.9 +72 43 58 ; 0.63 ; 124.4 ; 124.41  ;  0.44  ; F 7   V     ;  3.68 V   ;   ;
Chi Draconis B        ;        ;          ;Dra  ;18 21 02.9 +72 43 58 ; 0.63 ; 124.4 ; 124.41  ;  0.44  ; K 0   V     ;  5.67 V   ;   ;
LHS 340               ;480.1   ;          ;Cen  ;12 40 49.0 -43 34 17 ; 1.05 ; 311.7 ; 124.25  ;  0.10  ; M 3   V     ; 12.24 V   ;   ;
LHS 3558              ;793     ;          ;Cep  ;20 30 31.9 +65 27 01 ; 0.53 ; 57.9  ; 124.20  ;  0.36  ; M 3   V     ; 10.68 V   ;   ;
BD+18 3421            ;686     ;          ;Her  ;17 37 53.7 +18 35 32 ; 1.36 ; 43.2  ; 124.2   ;  1.5   ; M 1   V     ;  9.58 V   ; y ;
2MASS J2148+4003      ;        ;          ;Cyg  ;21 48 16.3 +40 03 59 ; 0.89 ; 59.4  ; 124.18  ;  0.39  ; L 6.5 V p   ; 14.15 J   ;   ;Young obj in Argus assoc, rogue planet? mass = 6-7 MJ
WISE J2354+0240       ;        ;          ;Psc  ;23 54 02.8 +02 40 14 ; 2.40 ; 167.0 ; 124.1   ;  4.9   ; Y 1   V     ; 23.07 J   ;   ;or par = 92.6 +-2.7
BPM 4719              ;293     ;          ;Vol  ;07 53 14.6 -67 47 32 ; 2.04 ; 135.6 ; 124.0   ;  1.1   ; DQ 9        ; 14.08 V   ;   ;
Pi-3 Orionis          ;178     ;          ;Ori  ;04 49 50.0 +06 57 38 ; 0.46 ; 88.1  ; 123.93  ;  0.17  ; F 6   V     ;  3.16 V   ;   ;
Wolf 437              ;486     ;          ;Vir  ;12 47 57.1 +09 45 12 ; 1.08 ; 246.8 ; 123.87  ;  0.58  ; M 4   V     ; 11.40 V   ; y ;
G 13-22 A             ;1154 AB ;          ;Vir  ;12 14 16.6 +00 37 17 ; 0.99 ; 253.0 ; 123.77  ;  0.11  ; M 5   V     ; 14.02 V   ;   ;
G 13-22 B             ;        ;          ;Vir  ;12 14 16.6 +00 37 17 ; 0.99 ; 253.0 ; 123.77  ;  0.11  ; M 5.5 V     ; 15.02 V   ;   ;ST derived from MV
p Eridani A           ;66 A    ;          ;Eri  ;01 39 47.5 -56 11 42 ; 0.28 ; 84.6  ; 123.55  ;  0.50  ; K 2   V     ;  5.80 V   ;   ;
p Eridani B           ;66 B    ;          ;Eri  ;01 39 47.5 -56 11 42 ; 0.28 ; 84.6  ; 123.55  ;  0.50  ; K 3   V     ;  5.90 V   ;   ;
LHS 4003              ;1289    ;          ;And  ;23 43 06.7 +36 32 14 ; 0.94 ; 98.3  ; 123.5   ;  2.5   ; M 4   V     ; 12.67 V   ;   ;
LHS 1989              ;300     ;          ;Pup  ;08 12 40.8 -21 33 10 ; 0.71 ; 177.5 ; 123.28  ;  0.44  ; M 3.5 V     ; 12.07 V   ; y ;
LHS 1005              ;915     ;          ;Phe  ;00 02 10.4 -43 09 58 ; 0.92 ; 137.7 ; 122.4   ;  1.1   ; DAP 5.8     ; 12.76 V   ;   ;
2MASS J0729-3954      ;        ;          ;Pup  ;07 29 00.0 -39 54 04 ; 1.74 ; 341.0 ; 122.3   ;  7.6   ; T 8   V p   ; 15.92 J   ;   ;
UGPS J0521+3640       ;        ;          ;Aur  ;05 21 26.9 +36 41 00 ; 1.59 ; 161.2 ; 122     ; 17     ; T 8.5 V     ; 16.94 J   ;   ;
HD 217357             ;884     ;          ;Aqr  ;23 00 15.8 -22 31 26 ; 0.91 ; 274.1 ; 121.99  ;  0.28  ; K 7   V     ;  7.89 V   ;   ;
L 173-19              ;        ;          ;Eri  ;02 00 38.3 -55 58 05 ; 0.14 ; 120.2 ; 121.738 ;  0.056 ; M 4   V     ; 11.88 V   ;   ;
Wolf 461              ;493.1   ;FN Vir    ;Vir  ;13 00 33.9 +05 41 09 ; 0.97 ; 284.4 ; 121.5   ;  1.7   ; M 5   V     ; 13.37 V   ;   ;
Wolf 489              ;518     ;          ;Vir  ;13 36 32.6 +03 40 49 ; 3.87 ; 253.6 ; 121.4   ;  3.4   ; DZ 9        ; 14.66 V   ;   ;
Ross 318              ;48      ;          ;Cas  ;01 02 32.6 +71 40 49 ; 1.78 ; 101.2 ; 121.36  ;  0.34  ; M 3   V     ; 10.0  V   ;   ;
TYC 3980-1081-1 (A)   ;        ;          ;Cep  ;21 51 38.3 +59 17 38 ; 0.11 ; 310.9 ; 121.26  ;  0.94  ; M 3   V     ; 10.50 V   ;   ;
LHS 1963              ;1105    ;          ;Lyn  ;07 58 13.0 +41 18 14 ; 0.68 ; 163.0 ; 120.8   ;  1.9   ; M 3.5 V     ; 12.04 V   ;   ;
SCR J1138-7721        ;        ;          ;Cha  ;11 38 16.8 -77 21 49 ; 2.15 ; 286.9 ; 120.4   ;  1.0   ; M 5   V     ; 14.78 V   ;   ;
Mu Herculis (Aa)      ;695 A   ;          ;Her  ;17 46 27.6 +27 43 13 ; 0.81 ; 202.9 ; 120.32  ;  0.16  ; G 5   IV    ;  3.42 V   ;   ;
Mu Herculis (Ab)      ;        ;          ;Her  ;17 46 27.6 +27 43 13 ; 0.81 ; 202.9 ; 120.32  ;  0.16  ; M 4   V     ; 12.70 V   ;   ;
LHS 3325 (Ba)         ;695 B   ;          ;Her  ;17 46 25.5 +27 43 01 ; 0.83 ; 204.2 ; 120.32  ;  0.16  ; M 3.5 V     ; 10.35 V   ;   ;
LHS 3325 (Bb)         ;695 C   ;          ;Her  ;17 46 25.5 +27 43 01 ; 0.83 ; 204.2 ; 120.32  ;  0.16  ; M 4   V     ; 10.8  V   ;   ;
LP 336-6 A            ;747 A   ;          ;Lyr  ;19 07 42.9 +32 32 42 ; 1.64 ; 48.9  ; 120.20  ;  0.20  ; M 3   V     ; 11.26 V   ;   ;
LP 336-6 B            ;747 B   ;          ;Lyr  ;19 07 42.9 +32 32 42 ; 1.64 ; 48.9  ; 120.20  ;  0.20  ; M 5   V     ; 12.56 V   ;   ;
Xi Ursae Maj. (Aa)    ;423 A   ;Xi UMa    ;UMa  ;11 18 11.0 +31 31 45 ; 0.73 ; 216.2 ; 120.19  ;  0.75  ; F 8.5 V     ;  4.26 V c ;   ;Alula Australis
Xi Ursae Maj. (Ab)    ;        ;          ;UMa  ;11 18 11.0 +31 31 45 ; 0.73 ; 216.2 ; 120.19  ;  0.75  ; M 3   V     ;  4.26 V c ;   ;
Xi Ursae Maj. (Ba)    ;423 B   ;          ;UMa  ;11 18 11.0 +31 31 45 ; 0.73 ; 216.2 ; 120.19  ;  0.75  ; G 2   V     ;  4.73 V c ;   ;
Xi Ursae Maj. (Bb)    ;        ;          ;UMa  ;11 18 11.0 +31 31 45 ; 0.73 ; 216.2 ; 120.19  ;  0.75  ; M 5.5 V     ;  4.73 V c ;   ;ST derived from mass: 0.14 MSun
WISE J1118+3125 (C)   ;        ;          ;UMa  ;11 18 38.7 +31 25 38 ; 0.70 ; 216.7 ; 120.19  ;  0.75  ; T 8.5 V     ; 18.37 J   ;   ;
LHS 465               ;1227    ;          ;Dra  ;18 22 27.0 +62 02 53 ; 1.54 ; 217.1 ; 119.8   ;  2.1   ; M 4.5 V     ; 13.4  V   ;   ;
LP 949-15             ;        ;AP Col    ;Col  ;06 04 52.2 -34 33 36 ; 0.33 ; 3.6   ; 119.21  ;  0.98  ; M 5   V     ; 13.15 V   ;   ;
SCR J1546-5534 A      ;        ;          ;Nor  ;15 46 41.8 -55 34 47 ; 0.45 ; 229.3 ; 119.09  ;  0.70  ; M 7.5 V     ; 17.67 V   ;   ;
SCR J1546-5534 B      ;        ;          ;Nor  ;15 46 41.8 -55 34 47 ; 0.44 ; 229.5 ; 119.09  ;  0.70  ; L 2   V     ; 20.39 V   ;   ;ST derived from MV
CD-37 10765 A         ;618 A   ;          ;Sco  ;16 20 03.5 -37 31 45 ; 1.27 ; 323.3 ; 118.7   ;  2.2   ; M 2   V     ; 10.61 V   ;   ;
CD-37 10765 B         ;618 B   ;          ;Sco  ;16 20 03.5 -37 31 45 ; 1.27 ; 323.3 ; 118.7   ;  2.2   ; M 5.5 V     ; 14.15 V   ;   ;
Beta Canum Venat.     ;475     ;          ;CVn  ;12 33 44.3 +41 21 25 ; 0.76 ; 292.2 ; 118.48  ;  0.20  ; G 0   V     ;  4.25 V   ; y ;
Ross 64               ;232     ;          ;Gem  ;06 24 41.6 +23 25 59 ; 0.76 ; 132.4 ; 118.2   ;  1.9   ; M 4.5 V     ; 13.06 V   ;   ;
HD 32450 A            ;185 A   ;          ;Lep  ;05 02 28.0 -21 15 24 ; 0.31 ; 211.1 ; 118.2   ;  1.1   ; K 7   V     ;  8.32 V   ;   ;
